Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,xG,npxG,xAG,Sh,SoT,SoT%,G/Sh,G/SoT,G-xG,Cmp%,KP,PrgP,PrgC,Tkl,TklW,Int,Clr,Touches,Carries,Succ%,Recov,Goals_per_90,Assists_per_90,Goal_Contributions_per_90,xG_per_90,xAG_per_90,Shots_per_90,Shots_on_Target_per_90,Key_Passes_per_90,Progressive_Actions_per_90,Tackles_per_90,Interceptions_per_90,Recoveries_per_90,Clearances_per_90
Francesco Acerbi,it ITA,DF,Inter,it Serie A,36,23,20,1710,19.0,0,1,1,0.4,0.4,0.6,5,1,20.0,0.0,0.0,-0.4,92.5,9,62,19,23,19,26,81,1484,915,75.0,62,0.0,0.052631578947368425,0.052631578947368425,0.021052631578947368,0.031578947368421054,0.2631578947368421,0.052631578947368425,0.47368421052631576,4.2631578947368425,1.2105263157894737,1.368421052631579,3.263157894736842,4.2631578947368425
Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18,4,2,170,1.9,0,0,0,0.2,0.2,0.0,2,0,0.0,0.0,,-0.2,83.9,0,8,0,2,1,1,2,137,106,50.0,7,0.0,0.0,0.0,0.10588235294117648,0.0,1.0588235294117647,0.0,0.0,4.235294117647059,1.0588235294117647,0.5294117647058824,3.7058823529411766,1.0588235294117647
Akor Adams,ng NGA,FW,Sevilla,es La Liga,24,4,1,134,1.5,0,0,0,0.4,0.4,0.0,2,1,50.0,0.0,0.0,-0.4,74.1,0,5,0,0,0,0,1,34,5,100.0,4,0.0,0.0,0.0,0.26865671641791045,0.0,1.3432835820895521,0.6716417910447761,0.0,3.3582089552238803,0.0,0.0,2.6865671641791042,0.6716417910447761
Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24,15,13,1075,11.9,3,1,4,4.3,4.3,1.0,26,12,46.2,0.12,0.25,-1.3,62.6,12,6,11,4,3,1,5,251,126,50.0,24,0.25116279069767444,0.08372093023255814,0.33488372093023255,0.36,0.08372093023255814,2.1767441860465113,1.0046511627906978,1.0046511627906978,1.4232558139534883,0.33488372093023255,0.08372093023255814,2.0093023255813955,0.41860465116279066
Che Adams,sct SCO,FW,Torino,it Serie A,28,36,30,2652,29.5,9,3,12,9.0,8.2,2.0,63,25,39.7,0.14,0.36,0.0,74.3,26,40,23,12,6,2,18,802,509,29.7,50,0.3054298642533937,0.10180995475113123,0.40723981900452494,0.3054298642533937,0.06787330316742082,2.1380090497737556,0.8484162895927602,0.8823529411764706,2.1380090497737556,0.40723981900452494,0.06787330316742082,1.6968325791855203,0.6108597285067874
Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25,28,21,1965,21.8,0,3,3,1.6,1.6,1.0,9,2,22.2,0.0,0.0,-1.6,84.4,18,76,14,83,50,32,42,1337,663,22.2,114,0.0,0.13740458015267176,0.13740458015267176,0.0732824427480916,0.04580152671755725,0.4122137404580153,0.0916030534351145,0.8244274809160306,4.122137404580153,3.8015267175572522,1.465648854961832,5.221374045801527,1.9236641221374047
Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23,25,19,1545,17.2,2,2,4,5.5,5.5,2.4,36,11,30.6,0.06,0.18,-3.5,63.5,17,14,8,9,3,12,20,534,275,34.5,52,0.11650485436893204,0.11650485436893204,0.23300970873786409,0.32038834951456313,0.13980582524271842,2.0970873786407767,0.6407766990291263,0.9902912621359222,1.2815533980582525,0.5242718446601942,0.6990291262135923,3.0291262135922334,1.1650485436893205
Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,26,22,15,1409,15.7,1,1,2,0.9,0.9,0.2,13,2,15.4,0.08,0.5,0.1,91.1,1,42,5,17,13,11,80,1330,777,66.7,41,0.063875088715401,0.063875088715401,0.127750177430802,0.057487579843860895,0.0127750177430802,0.830376153300213,0.127750177430802,0.063875088715401,3.002129169623847,1.085876508161817,0.7026259758694109,2.6188786373314406,5.110007097232079
Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,20,1,0,26,0.3,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,80.0,0,0,1,1,1,0,2,14,6,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4615384615384617,3.4615384615384617,0.0,0.0,6.923076923076923
Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,22,25,17,1433,15.9,7,6,13,5.5,5.5,6.0,46,18,39.1,0.15,0.39,1.5,74.3,28,28,68,20,14,7,5,636,417,42.6,48,0.4396371249127704,0.3768318213538032,0.8164689462665736,0.3454291695743196,0.3768318213538032,2.8890439637124916,1.1304954640614098,1.7585484996510816,6.0293091416608515,1.256106071179344,0.4396371249127704,3.0146545708304258,0.314026517794836
Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,22,29,12,1097,12.2,2,2,4,2.5,2.5,2.5,33,8,24.2,0.06,0.25,-0.5,75.9,16,18,50,23,14,8,6,548,366,42.0,47,0.1640838650865998,0.1640838650865998,0.3281677301731996,0.20510483135824975,0.20510483135824975,2.707383773928897,0.6563354603463992,1.3126709206927984,5.578851412944394,1.886964448495898,0.6563354603463992,3.8559708295350954,0.4922515952597995
Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24,20,6,766,8.5,2,0,2,2.7,2.7,0.7,20,7,35.0,0.1,0.29,-0.7,74.2,11,24,37,15,9,0,4,468,248,46.9,30,0.2349869451697128,0.0,0.2349869451697128,0.3172323759791123,0.08224543080939947,2.3498694516971277,0.8224543080939948,1.2924281984334205,7.16710182767624,1.762402088772846,0.0,3.524804177545692,0.4699738903394256
Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24,25,14,1219,13.5,4,6,10,1.0,1.0,2.4,14,5,35.7,0.29,0.8,3.0,80.7,23,103,24,32,19,6,19,1021,618,37.5,77,0.29532403609516,0.44298605414273995,0.7383100902379,0.07383100902379,0.17719442165709595,1.03363412633306,0.36915504511895,1.6981132075471697,9.37653814602133,2.36259228876128,0.44298605414273995,5.684987694831829,1.40278917145201
Adryelson,br BRA,DF,Lyon,fr Ligue 1,26,1,0,1,0.0,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,33.3,0,1,0,0,0,1,1,5,1,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,90.0,0.0,90.0
Vasilije Adžić,me MNE,"MF,FW",Juventus,it Serie A,18,6,0,42,0.5,0,0,0,0.0,0.0,0.0,1,1,100.0,0.0,0.0,0.0,75.0,0,1,0,2,2,0,0,24,14,0.0,3,0.0,0.0,0.0,0.0,0.0,2.142857142857143,2.142857142857143,0.0,2.142857142857143,4.285714285714286,0.0,6.428571428571428,0.0
Michel Aebischer,ch SUI,MF,Bologna,it Serie A,27,14,9,724,8.0,0,0,0,0.4,0.4,0.4,10,5,50.0,0.0,0.0,-0.4,87.4,8,33,8,18,13,7,6,485,291,50.0,35,0.0,0.0,0.0,0.04972375690607735,0.04972375690607735,1.2430939226519337,0.6215469613259669,0.9944751381215469,5.096685082872928,2.2375690607734806,0.8701657458563535,4.350828729281768,0.7458563535911602
Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,26,32,17,1639,18.2,3,1,4,3.1,3.1,3.8,38,13,34.2,0.08,0.23,-0.1,69.4,21,32,53,17,8,8,20,741,495,49.0,72,0.16473459426479561,0.05491153142159853,0.21964612568639413,0.17022574740695545,0.20866381940207443,2.086638194020744,0.7138499084807809,1.1531421598535694,4.6674801708358755,0.9334960341671752,0.43929225137278827,3.9536302623550945,1.0982306284319707
Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27,16,16,1410,15.7,1,0,1,0.8,0.8,0.2,7,2,28.6,0.14,0.5,0.2,85.4,4,31,6,30,19,12,90,1172,758,76.9,83,0.06382978723404256,0.0,0.06382978723404256,0.05106382978723404,0.01276595744680851,0.4468085106382979,0.12765957446808512,0.25531914893617025,2.3617021276595747,1.9148936170212765,0.7659574468085106,5.297872340425532,5.744680851063829
Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27,14,14,1260,14.0,0,0,0,0.5,0.5,0.3,15,3,20.0,0.0,0.0,-0.5,87.9,8,77,10,25,17,19,64,1080,621,75.0,85,0.0,0.0,0.0,0.03571428571428571,0.02142857142857143,1.0714285714285714,0.2142857142857143,0.5714285714285714,6.214285714285714,1.7857142857142856,1.3571428571428572,6.071428571428571,4.571428571428571
Asher Agbinone,eng ENG,MF,Crystal Palace,eng Premier League,18,2,0,6,0.1,0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,,0.0,66.7,1,0,2,2,1,0,0,8,5,0.0,0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,30.0,30.0,0.0,0.0,0.0
Jeremy Agbonifo,se SWE,"FW,MF",Lens,fr Ligue 1,18,8,1,300,3.3,1,0,1,0.7,0.7,0.2,6,4,66.7,0.17,0.25,0.3,72.5,3,6,13,7,6,1,0,131,84,45.0,9,0.30000000000000004,0.0,0.30000000000000004,0.20999999999999996,0.060000000000000005,1.8,1.2000000000000002,0.9,5.7,2.1,0.30000000000000004,2.6999999999999997,0.0
Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,22,35,24,2114,23.5,1,3,4,0.9,0.9,2.5,10,2,20.0,0.1,0.5,0.1,81.5,27,135,29,70,32,41,42,1481,689,73.3,136,0.04257332071901608,0.12771996215704826,0.17029328287606432,0.038315988647114475,0.10643330179754021,0.42573320719016083,0.08514664143803216,1.1494796594134342,6.982024597918638,2.980132450331126,1.7455061494796595,5.789971617786188,1.7880794701986755
Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,24,22,21,1751,19.5,3,0,3,1.4,1.4,1.8,9,4,44.4,0.33,0.75,1.6,79.7,20,43,33,30,14,21,48,1045,545,25.7,67,0.15419760137064534,0.0,0.15419760137064534,0.07195888063963449,0.09251856082238721,0.46259280411193604,0.20559680182752713,1.0279840091376355,3.9063392347230157,1.5419760137064533,1.0793832095945175,3.443746430611079,2.4671616219303254
