Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,xG,npxG,xAG,Sh,SoT,SoT%,G/Sh,G/SoT,G-xG,Cmp%,KP,PrgP,PrgC,Tkl,TklW,Int,Clr,Touches,Carries,Succ%,Recov
Logan Costa,cv CPV,DF,Toulouse,fr Ligue 1,23,1,1,90,1.0,0,0,0,0.0,0.0,0.5,0,0,,,,0.0,83.9,1,4,1,2,1,2,4,69,37,,4
Samu Costa,pt POR,MF,Mallorca,es La Liga,23,32,31,2649,29.4,0,2,2,1.8,1.8,1.2,30,8,26.7,0.0,0.0,-1.8,80.7,15,116,24,90,44,32,85,1834,1029,39.4,129
Vladimír Coufal,cz CZE,DF,West Ham,eng Premier League,31,22,11,1067,11.9,0,0,0,0.3,0.3,0.7,7,2,28.6,0.0,0.0,-0.3,78.6,8,39,26,22,15,8,39,736,298,33.3,39
Lassana Coulibaly,ml MLI,MF,Lecce,it Serie A,28,38,30,2667,29.6,1,0,1,0.8,0.8,0.9,9,3,33.3,0.11,0.33,0.2,81.2,12,93,21,48,29,18,46,1229,623,47.4,146
Lasso Coulibaly,ci CIV,"FW,MF",Auxerre,fr Ligue 1,21,3,0,45,0.5,1,0,1,0.3,0.3,0.1,3,2,66.7,0.33,0.5,0.7,92.3,1,0,0,1,1,0,0,21,12,33.3,1
Mamadou Coulibaly,fr FRA,MF,Monaco,fr Ligue 1,20,1,0,8,0.1,0,0,0,0.1,0.1,0.0,1,0,0.0,0.0,,-0.1,60.0,0,0,0,1,0,0,0,9,4,50.0,0
Soumaïla Coulibaly,fr FRA,DF,Brest,fr Ligue 1,20,7,5,438,4.9,0,0,0,0.2,0.2,0.1,4,0,0.0,0.0,,-0.2,88.6,1,16,1,4,2,5,26,370,226,0.0,19
Tanguy Coulibaly,fr FRA,"FW,MF",Montpellier,fr Ligue 1,23,25,17,1485,16.5,3,0,3,3.5,3.5,1.3,30,13,43.3,0.1,0.23,-0.5,78.5,18,20,48,32,24,11,3,583,328,53.7,70
Woyo Coulibaly,ml MLI,DF,Leicester City,eng Premier League,25,4,1,109,1.2,0,0,0,0.0,0.0,0.0,2,1,50.0,0.0,0.0,0.0,84.2,0,3,4,6,4,5,1,76,48,0.0,14
Woyo Coulibaly,ml MLI,DF,Parma,it Serie A,25,14,12,1084,12.0,0,1,1,0.1,0.1,0.9,3,0,0.0,0.0,,-0.1,86.7,8,41,36,13,10,8,25,706,404,47.1,60
Marius Courcoul,fr FRA,"MF,DF",Angers,fr Ligue 1,17,8,3,309,3.4,0,0,0,0.1,0.1,0.0,3,1,33.3,0.0,0.0,-0.1,85.8,1,7,5,5,2,5,9,191,90,20.0,12
Yan Couto,br BRA,"DF,FW",Dortmund,de Bundesliga,22,21,8,895,9.9,0,0,0,0.3,0.3,0.9,6,2,33.3,0.0,0.0,-0.3,81.1,12,68,46,24,16,10,32,849,483,39.4,55
Nicolas Cozza,fr FRA,"DF,MF",Nantes,fr Ligue 1,25,27,23,2051,22.8,1,0,1,1.4,1.4,1.4,17,6,35.3,0.06,0.17,-0.4,77.7,7,64,25,59,41,25,69,1044,400,25.0,62
Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,34,18,10,824,9.2,0,0,0,0.2,0.2,1.3,5,0,0.0,0.0,,-0.2,82.6,9,36,6,11,7,8,37,687,291,50.0,36
Charlie Cresswell,eng ENG,DF,Toulouse,fr Ligue 1,21,31,29,2592,28.8,3,1,4,3.3,3.3,1.7,32,13,40.6,0.09,0.23,-0.3,83.0,5,69,8,35,23,28,191,1920,1033,27.3,103
Bryan Cristante,it ITA,MF,Roma,it Serie A,29,30,23,2045,22.7,4,2,6,2.1,2.1,1.4,30,7,23.3,0.13,0.57,1.9,82.3,18,145,25,48,29,19,36,1497,833,42.9,109
Domen Črnigoj,si SVN,MF,Venezia,it Serie A,28,8,1,136,1.5,0,0,0,0.1,0.1,0.0,1,0,0.0,0.0,,-0.1,51.0,0,4,4,4,2,4,4,76,36,0.0,8
Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,32,25,19,1492,16.6,0,0,0,0.1,0.1,0.0,4,0,0.0,0.0,,-0.1,78.0,2,53,9,26,14,9,68,819,337,25.0,46
Juan Cruz,es ESP,"FW,MF",Leganés,es La Liga,24,34,26,2257,25.1,5,4,9,2.7,2.7,4.1,33,14,42.4,0.15,0.36,2.3,68.2,24,66,59,32,19,13,31,951,543,51.3,109
Juan Cuadrado,co COL,"DF,MF",Atalanta,it Serie A,36,23,7,832,9.2,0,2,2,0.9,0.9,2.0,16,4,25.0,0.0,0.0,-0.9,79.2,19,64,41,19,9,7,9,722,462,42.5,31
Pau Cubarsí,es ESP,DF,Barcelona,es La Liga,17,35,29,2618,29.1,0,3,3,0.8,0.8,1.6,8,0,0.0,0.0,,-0.8,93.5,9,191,26,34,23,16,86,2805,1823,75.0,102
Cucho,co COL,FW,Betis,es La Liga,25,15,14,1139,12.7,5,1,6,3.8,3.8,1.5,43,11,25.6,0.12,0.45,1.2,71.9,14,34,27,15,10,7,4,467,250,65.4,28
Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,26,36,33,2988,33.2,5,1,6,2.8,2.8,2.1,24,11,45.8,0.21,0.45,2.2,87.7,19,118,35,67,45,28,95,2244,944,26.7,130
Jorge Cuenca,es ESP,DF,Fulham,eng Premier League,24,8,4,351,3.9,0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,,0.0,83.8,0,10,0,6,2,2,26,214,89,100.0,10
Matheus Cunha,br BRA,"MF,FW",Wolves,eng Premier League,25,33,29,2597,28.9,15,6,21,8.6,8.6,7.7,110,44,40.0,0.14,0.34,6.4,71.6,56,144,112,38,22,17,23,1561,904,44.5,125
Patrick Cutrone,it ITA,FW,Como,it Serie A,26,33,23,2047,22.7,7,4,11,7.1,6.3,2.1,69,26,37.7,0.1,0.27,-0.1,70.3,19,31,53,16,11,5,7,692,445,37.5,54
Tomáš Čvančara,cz CZE,FW,Gladbach,de Bundesliga,23,28,7,831,9.2,2,0,2,3.8,3.8,0.9,24,9,37.5,0.08,0.22,-1.8,71.5,6,23,15,4,1,5,17,336,185,35.3,23
Wylan Cyprien,fr FRA,MF,Parma,it Serie A,29,2,0,28,0.3,0,0,0,0.2,0.2,0.0,1,0,0.0,0.0,,-0.2,66.7,0,2,1,0,0,1,0,28,11,,6
Danilo D'Ambrosio,it ITA,DF,Monza,it Serie A,35,20,12,1095,12.2,0,1,1,0.5,0.5,0.4,9,4,44.4,0.0,0.0,-0.5,86.8,5,34,10,28,15,15,36,776,443,28.6,46
Lucas Da Cunha,fr FRA,MF,Como,it Serie A,23,36,30,2613,29.0,3,2,5,2.0,2.0,3.8,37,14,37.8,0.08,0.21,1.0,84.5,55,154,63,45,25,17,30,1929,1200,40.0,157
Samuel Dahl,se SWE,"DF,MF",Roma,it Serie A,24,2,0,43,0.5,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,85.7,0,2,1,2,2,0,0,37,21,0.0,1
Mahmoud Dahoud,de GER,MF,Eint Frankfurt,de Bundesliga,28,9,3,364,4.0,1,1,2,0.5,0.5,0.7,7,2,28.6,0.14,0.5,0.5,84.9,8,17,1,9,4,2,5,263,160,33.3,20
Patson Daka,zm ZAM,"FW,MF",Leicester City,eng Premier League,25,23,6,736,8.2,1,0,1,1.3,1.3,0.1,15,4,26.7,0.07,0.25,-0.3,72.1,1,8,11,19,10,1,12,252,141,13.3,18
Ameen Al-Dakhil,be BEL,DF,Stuttgart,de Bundesliga,22,7,6,432,4.8,0,0,0,0.1,0.1,0.2,1,0,0.0,0.0,,-0.1,91.7,2,12,1,6,6,9,30,407,239,,17
Thijs Dallinga,nl NED,FW,Bologna,it Serie A,23,31,11,1154,12.8,3,2,5,4.3,4.3,0.6,31,11,35.5,0.1,0.27,-1.3,71.7,12,17,9,10,5,1,13,439,243,18.2,35
Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,25,33,31,2814,31.3,0,3,3,2.0,2.0,2.0,25,5,20.0,0.0,0.0,-2.0,80.5,26,103,62,68,40,37,72,1983,1126,50.9,167
Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,eng Premier League,24,38,34,2911,32.3,2,10,12,2.8,2.8,8.4,35,7,20.0,0.06,0.29,-0.8,72.4,63,234,73,83,44,27,31,1883,1076,51.5,179
Maat Daniel Caprini,it ITA,FW,Fiorentina,it Serie A,18,1,0,7,0.1,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,83.3,0,1,0,0,0,0,0,13,5,0.0,2
Flavius Daniliuc,at AUT,DF,Hellas Verona,it Serie A,23,18,9,1004,11.2,0,0,0,0.1,0.1,0.1,3,1,33.3,0.0,0.0,-0.1,83.5,2,38,8,26,21,7,27,538,285,57.1,44
Danilo,br BRA,"MF,FW",Nott'ham Forest,eng Premier League,23,8,5,275,3.1,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,77.7,0,11,2,8,4,4,3,150,54,50.0,19
Danilo,br BRA,DF,Juventus,it Serie A,33,12,6,581,6.5,0,1,1,0.1,0.1,0.4,1,0,0.0,0.0,,-0.1,90.6,3,45,16,10,4,9,21,625,381,,24
Arnaut Danjuma,nl NED,FW,Villarreal,es La Liga,27,3,3,200,2.2,2,0,2,0.8,0.8,0.0,6,3,50.0,0.33,0.67,1.2,76.7,1,1,4,2,1,0,0,48,25,0.0,2
Arnaut Danjuma,nl NED,"FW,MF",Girona,es La Liga,27,25,15,1335,14.8,2,0,2,3.6,3.6,1.7,30,14,46.7,0.07,0.14,-1.6,72.6,22,41,91,8,6,2,4,588,394,35.8,40
Jayden Danns,eng ENG,MF,Liverpool,eng Premier League,18,1,0,11,0.1,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,100.0,0,0,0,0,0,0,0,2,1,,0
Kévin Danois,fr FRA,MF,Auxerre,fr Ligue 1,20,22,16,1460,16.2,0,0,0,1.5,1.5,2.2,17,3,17.6,0.0,0.0,-1.5,81.5,25,95,19,49,30,20,20,912,570,51.2,102
Kevin Danso,at AUT,DF,Tottenham,eng Premier League,25,10,9,842,9.4,0,0,0,0.4,0.4,0.1,7,3,42.9,0.0,0.0,-0.4,86.5,2,19,11,7,5,6,71,676,448,66.7,27
Kevin Danso,at AUT,DF,Lens,fr Ligue 1,25,12,12,1080,12.0,0,0,0,0.5,0.5,1.0,10,2,20.0,0.0,0.0,-0.5,85.6,6,52,9,19,7,20,62,946,489,16.7,59
Dante,br BRA,DF,Nice,fr Ligue 1,40,25,21,1964,21.8,0,0,0,0.5,0.5,0.2,9,2,22.2,0.0,0.0,-0.5,88.5,4,96,18,32,15,34,74,1651,949,40.0,112
Mohamed Daramy,dk DEN,FW,Reims,fr Ligue 1,22,2,0,16,0.2,0,0,0,0.0,0.0,0.1,1,0,0.0,0.0,,0.0,100.0,1,0,3,0,0,0,1,8,5,,0
Bence Dárdai,hu HUN,MF,Wolfsburg,de Bundesliga,18,21,16,1304,14.5,1,1,2,1.0,1.0,1.0,11,1,9.1,0.09,1.0,0.0,80.2,11,39,5,24,14,12,28,595,287,25.0,52
Sergi Darder,es ESP,"MF,FW",Mallorca,es La Liga,30,38,34,2744,30.5,2,6,8,2.1,2.1,3.7,36,9,25.0,0.06,0.22,-0.1,75.3,54,142,37,40,26,16,23,1558,911,45.9,122
Matteo Darmian,it ITA,DF,Inter,it Serie A,34,29,20,1781,19.8,3,2,5,1.9,1.9,1.5,11,3,27.3,0.27,1.0,1.1,83.8,15,45,14,28,17,10,39,1144,593,44.4,39
Lukas Daschner,de GER,"MF,FW",Bochum,de Bundesliga,25,14,3,412,4.6,1,1,2,2.7,1.9,0.7,8,4,50.0,0.13,0.25,-1.7,64.6,6,11,8,4,2,0,5,213,116,33.3,17
Juan David Cabal,co COL,DF,Juventus,it Serie A,23,7,6,460,5.1,0,0,0,0.1,0.1,0.0,5,0,0.0,0.0,,-0.1,87.7,1,17,14,10,4,2,14,401,242,57.1,20
Jonathan David,ca CAN,FW,Lille,fr Ligue 1,24,32,28,2554,28.4,16,5,21,16.2,10.7,4.4,66,28,42.4,0.15,0.36,-0.2,82.1,36,65,40,24,8,7,10,952,518,47.6,66
Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,23,19,17,1560,17.3,1,2,3,1.2,1.2,1.6,17,3,17.6,0.06,0.33,-0.2,89.7,27,120,81,30,17,13,22,1463,895,45.6,115
Ben Davies,wls WAL,DF,Tottenham,eng Premier League,31,17,14,1331,14.8,0,0,0,0.3,0.3,0.2,5,1,20.0,0.0,0.0,-0.3,87.6,2,52,14,17,11,12,81,1186,664,100.0,41
Keinan Davis,eng ENG,FW,Udinese,it Serie A,26,23,10,1066,11.8,2,1,3,2.9,2.9,2.1,29,11,37.9,0.07,0.18,-0.9,75.6,20,22,26,9,4,1,5,404,231,48.6,34
Leif Davis,eng ENG,DF,Ipswich Town,eng Premier League,24,33,32,2743,30.5,1,2,3,1.0,1.0,4.9,16,2,12.5,0.06,0.5,0.0,71.6,61,59,52,46,27,25,77,1562,708,34.2,113
Zuriko Davitashvili,ge GEO,"FW,MF",Saint-Étienne,fr Ligue 1,23,33,32,2778,30.9,9,8,17,8.1,6.6,4.7,68,24,35.3,0.1,0.29,0.9,78.6,50,73,95,22,14,14,14,1298,764,37.4,117
Paweł Dawidowicz,pl POL,"DF,MF",Hellas Verona,it Serie A,29,26,24,1845,20.5,0,0,0,0.3,0.3,0.0,4,0,0.0,0.0,,-0.3,81.9,0,39,10,45,24,20,70,982,457,50.0,54
Craig Dawson,eng ENG,DF,Wolves,eng Premier League,34,15,10,971,10.8,0,0,0,0.5,0.5,0.0,5,1,20.0,0.0,0.0,-0.5,86.6,2,20,6,15,3,9,52,671,390,20.0,35
Kevin De Bruyne,be BEL,"MF,FW",Manchester City,eng Premier League,33,28,19,1702,18.9,4,7,11,5.1,5.1,8.0,57,15,26.3,0.07,0.27,-1.1,75.9,57,157,51,17,9,7,10,1368,812,38.2,64
Bobby De Cordova-Reid,jm JAM,FW,Leicester City,eng Premier League,31,23,9,744,8.3,1,2,3,0.8,0.8,1.2,7,3,42.9,0.14,0.33,0.2,70.4,6,15,14,9,4,0,10,272,174,0.0,29
Charles De Ketelaere,be BEL,"MF,FW",Atalanta,it Serie A,23,36,25,2070,23.0,7,7,14,7.3,7.3,6.0,48,20,41.7,0.15,0.35,-0.3,75.8,39,140,108,13,9,3,9,1238,832,45.3,78
Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,30,34,23,2106,23.4,3,5,8,1.3,1.3,5.6,19,4,21.1,0.16,0.75,1.7,81.7,42,231,85,33,26,6,15,1950,1373,40.0,128
Mattia De Sciglio,it ITA,DF,Empoli,it Serie A,31,16,7,769,8.5,1,0,1,0.6,0.6,0.2,5,3,60.0,0.2,0.33,0.4,77.9,3,18,4,18,13,8,35,394,161,25.0,27
Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,36,18,13,1060,11.8,1,0,1,0.8,0.8,0.3,9,4,44.4,0.11,0.25,0.2,79.1,5,46,4,11,6,10,32,657,313,20.0,26
Thibault De Smet,be BEL,DF,Reims,fr Ligue 1,26,5,2,192,2.1,0,0,0,0.1,0.1,0.0,1,0,0.0,0.0,,-0.1,90.5,0,9,1,6,4,4,12,146,83,0.0,6
Koni De Winter,be BEL,DF,Genoa,it Serie A,22,25,23,2135,23.7,3,0,3,2.1,2.1,0.2,13,7,53.8,0.23,0.43,0.9,86.6,3,56,10,33,19,25,118,1551,807,35.3,114
Amar Dedić,ba BIH,DF,Marseille,fr Ligue 1,21,10,2,314,3.5,0,1,1,0.9,0.9,0.9,6,2,33.3,0.0,0.0,-0.9,84.4,4,16,21,5,4,3,12,282,180,47.4,18
Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,28,29,16,1432,15.9,2,1,3,1.7,1.7,0.6,18,5,27.8,0.11,0.4,0.3,73.4,6,40,11,31,20,13,38,686,332,75.0,68
Romain Del Castillo,fr FRA,FW,Brest,fr Ligue 1,28,26,14,1259,14.0,6,4,10,4.7,1.5,3.4,17,8,47.1,0.18,0.38,1.3,69.8,37,61,29,31,22,6,5,840,438,43.2,73
Enrico Del Prato,it ITA,DF,Parma,it Serie A,24,34,32,2947,32.7,4,0,4,2.0,2.0,1.2,12,5,41.7,0.33,0.8,2.0,84.0,14,81,8,33,17,19,132,1830,1006,50.0,120
Thomas Delaine,fr FRA,DF,Strasbourg,fr Ligue 1,32,2,0,9,0.1,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,0.0,0,0,0,1,1,1,1,8,2,,0
Liam Delap,eng ENG,FW,Ipswich Town,eng Premier League,21,37,32,2593,28.8,12,2,14,9.3,7.8,1.9,66,29,43.9,0.15,0.34,2.7,61.3,21,30,61,11,8,2,28,682,445,46.5,68
Fisayo Dele-Bashiru,ng NGA,"MF,FW",Lazio,it Serie A,23,20,12,947,10.5,3,1,4,1.1,1.1,0.8,16,5,31.3,0.19,0.6,1.9,87.7,10,26,23,10,6,4,5,436,257,63.6,48
Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,32,9,8,607,6.7,0,0,0,1.3,1.3,0.9,17,6,35.3,0.0,0.0,-1.3,49.1,7,6,4,4,3,0,3,171,90,60.0,9
Olivier Deman,be BEL,DF,Werder Bremen,de Bundesliga,24,9,0,67,0.7,0,0,0,0.0,0.0,0.1,0,0,,,,0.0,65.5,1,4,2,6,3,3,4,75,31,0.0,5
Ali Dembélé,fr FRA,DF,Torino,it Serie A,20,15,4,388,4.3,1,0,1,0.4,0.4,0.1,5,2,40.0,0.2,0.5,0.6,75.6,3,12,8,9,5,1,11,222,101,33.3,15
Ousmane Dembélé,fr FRA,FW,Paris S-G,fr Ligue 1,27,29,20,1730,19.2,21,6,27,16.6,15.8,8.2,96,49,51.0,0.21,0.41,4.4,79.0,63,137,127,11,5,9,2,1323,878,44.2,39
Ermedin Demirović,ba BIH,FW,Stuttgart,de Bundesliga,26,34,20,1855,20.6,15,1,16,14.1,12.4,1.9,64,27,42.2,0.23,0.56,0.9,70.3,18,31,20,12,7,3,12,582,305,20.0,33
Sepp van den Berg,nl NED,DF,Brentford,eng Premier League,22,31,29,2586,28.7,0,0,0,2.0,2.0,0.8,20,6,30.0,0.0,0.0,-2.0,85.4,6,79,12,39,24,21,134,1605,737,57.1,97
Justin Devenny,nir NIR,MF,Crystal Palace,eng Premier League,20,23,4,507,5.6,1,1,2,0.8,0.8,0.6,10,6,60.0,0.1,0.17,0.2,72.2,7,21,5,17,12,0,11,279,134,50.0,27
Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,eng Premier League,25,13,2,264,2.9,0,1,1,0.2,0.2,1.1,1,0,0.0,0.0,,-0.2,83.6,3,14,5,8,5,2,9,184,95,50.0,9
Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,30,37,37,3330,37.0,3,2,5,2.8,2.8,3.9,21,6,28.6,0.14,0.5,0.2,83.6,37,224,50,66,44,31,85,2541,1202,12.9,94
Boulaye Dia,sn SEN,"MF,FW",Lazio,it Serie A,27,35,27,2177,24.2,9,3,12,7.1,7.1,4.2,39,19,48.7,0.23,0.47,1.9,83.6,26,51,23,22,10,6,16,802,452,40.5,55
Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,27,13,7,653,7.3,2,0,2,1.5,1.5,0.0,11,4,36.4,0.18,0.5,0.5,83.9,1,14,5,8,3,11,56,440,222,50.0,23
Mamadou Diakhon,fr FRA,"FW,MF",Reims,fr Ligue 1,18,28,5,858,9.5,2,1,3,1.0,1.0,1.1,18,8,44.4,0.11,0.25,1.0,77.0,13,17,61,12,8,4,5,379,288,41.0,38
Bafodé Diakité,fr FRA,DF,Lille,fr Ligue 1,23,31,31,2766,30.7,4,1,5,2.3,2.3,0.2,16,7,43.8,0.25,0.57,1.7,93.2,3,90,15,31,18,27,99,2475,1606,100.0,139
Oumar Diakité,ci CIV,FW,Reims,fr Ligue 1,20,26,20,1628,18.1,4,1,5,5.5,4.7,1.1,26,9,34.6,0.15,0.44,-1.5,82.2,11,44,24,20,13,3,9,580,319,35.1,59
Amad Diallo,ci CIV,"MF,FW",Manchester Utd,eng Premier League,22,26,20,1901,21.1,8,6,14,4.7,4.7,4.9,47,17,36.2,0.17,0.47,3.3,83.8,49,60,109,38,31,11,19,1207,782,46.6,109
Assane Diao,sn SEN,"FW,MF",Como,it Serie A,18,15,14,1252,13.9,8,1,9,4.0,4.0,0.4,28,13,46.4,0.29,0.62,4.0,79.3,8,36,50,25,14,3,19,523,376,26.4,41
Assane Diao,sn SEN,FW,Betis,es La Liga,18,10,2,277,3.1,1,2,3,0.8,0.8,1.5,7,1,14.3,0.14,1.0,0.2,74.2,8,1,9,5,3,0,3,122,63,18.2,12
Habib Diarra,sn SEN,"MF,FW",Strasbourg,fr Ligue 1,20,30,27,2352,26.1,4,5,9,3.3,1.8,4.5,25,10,40.0,0.08,0.2,0.7,83.0,27,116,61,22,13,13,46,1214,709,26.5,90
Moussa Diarra,ml MLI,DF,Alavés,es La Liga,23,26,20,1866,20.7,0,0,0,0.0,0.0,0.1,1,0,0.0,0.0,,0.0,80.2,3,70,12,40,24,21,46,1012,499,50.0,76
Rúben Dias,pt POR,DF,Manchester City,eng Premier League,27,27,25,2271,25.2,0,0,0,1.5,1.5,0.3,21,7,33.3,0.0,0.0,-1.5,93.5,5,160,43,17,11,20,71,2499,1775,66.7,78
Krépin Diatta,sn SEN,"DF,FW",Monaco,fr Ligue 1,25,19,3,508,5.6,0,0,0,0.2,0.2,0.8,2,1,50.0,0.0,0.0,-0.2,76.4,4,21,17,18,12,9,12,373,205,61.5,36
Kandet Diawara,gn GUI,FW,Le Havre,fr Ligue 1,24,1,0,4,0.0,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,50.0,0,0,0,0,0,0,1,4,2,,0
Mahamadou Diawara,fr FRA,MF,Le Havre,fr Ligue 1,19,15,6,582,6.5,0,1,1,0.4,0.4,0.4,7,1,14.3,0.0,0.0,-0.4,82.8,7,16,9,20,12,13,11,321,180,46.2,40
Mahamadou Diawara,fr FRA,MF,Lyon,fr Ligue 1,19,2,0,16,0.2,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,85.7,0,1,1,1,0,0,0,9,2,,3
Brahim Díaz,ma MAR,"FW,MF",Real Madrid,es La Liga,24,31,16,1385,15.4,4,2,6,5.3,5.3,3.3,28,15,53.6,0.14,0.27,-1.3,86.8,23,74,39,25,19,4,2,833,541,51.1,54
Daniel Díaz,es ESP,MF,Real Sociedad,es La Liga,18,1,0,10,0.1,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,33.3,0,0,0,1,1,0,0,6,1,0.0,0
Luis Díaz,co COL,FW,Liverpool,eng Premier League,27,36,28,2399,26.7,13,5,18,12.0,12.0,5.0,71,30,42.3,0.18,0.43,1.0,84.2,56,110,108,39,26,7,7,1184,780,45.7,105
Pedro Díaz,es ESP,MF,Rayo Vallecano,es La Liga,26,26,12,1211,13.5,3,0,3,2.4,1.6,2.1,31,7,22.6,0.1,0.43,0.6,78.8,26,62,27,23,15,7,7,707,390,58.8,80
Tyler Dibling,eng ENG,"FW,MF",Southampton,eng Premier League,18,33,20,1874,20.8,2,0,2,2.5,2.5,1.5,28,9,32.1,0.07,0.22,-0.5,81.3,20,64,69,34,20,8,16,868,558,40.9,80
Diego,es ESP,FW,Leganés,es La Liga,24,28,13,1195,13.3,3,0,3,3.8,3.8,0.2,29,9,31.0,0.1,0.33,-0.8,63.0,6,16,9,1,1,2,11,322,192,40.0,25
Justin Diehl,de GER,"FW,DF",Stuttgart,de Bundesliga,19,6,0,104,1.2,1,0,1,1.0,1.0,0.1,7,1,14.3,0.14,1.0,0.0,71.2,1,5,5,1,0,0,0,84,55,23.1,8
Bamba Dieng,sn SEN,FW,Angers,fr Ligue 1,24,18,5,532,5.9,3,0,3,3.1,2.3,0.0,13,6,46.2,0.15,0.33,-0.1,77.7,1,7,6,4,1,0,3,157,96,14.3,5
Eric Dier,eng ENG,DF,Bayern Munich,de Bundesliga,30,21,16,1463,16.3,2,1,3,1.1,1.1,0.1,9,5,55.6,0.22,0.4,0.9,93.8,3,73,12,19,11,20,77,1591,944,66.7,80
Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,31,32,28,2351,26.1,0,4,4,0.8,0.8,4.7,13,3,23.1,0.0,0.0,-0.8,74.9,36,57,23,65,38,25,89,1527,683,47.4,104
Kembo Diliwidi,fr FRA,DF,Lens,fr Ligue 1,18,1,0,4,0.0,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,66.7,0,1,0,0,0,0,0,4,1,0.0,0
Federico Dimarco,it ITA,"DF,FW",Inter,it Serie A,26,32,28,2140,23.8,4,7,11,3.3,3.3,6.1,55,20,36.4,0.07,0.2,0.7,76.3,48,83,47,25,14,14,33,1475,789,40.0,76
Junior Dina Ebimbe,fr FRA,"MF,FW",Eint Frankfurt,de Bundesliga,23,7,3,293,3.3,0,1,1,0.9,0.9,0.9,8,0,0.0,0.0,,-0.9,63.4,3,3,5,3,2,7,6,161,82,45.5,11
Eren Dinkçi,de GER,"MF,FW",Freiburg,de Bundesliga,22,23,13,1196,13.3,0,3,3,1.1,1.1,2.2,14,3,21.4,0.0,0.0,-1.1,75.4,23,35,33,21,13,7,7,552,269,41.0,55
Sinaly Diomande,ci CIV,DF,Auxerre,fr Ligue 1,23,23,22,1945,21.6,3,2,5,1.1,1.1,0.6,9,4,44.4,0.33,0.75,1.9,84.6,4,72,8,39,19,30,100,1223,698,57.1,86
Yan Diomandé,ci CIV,"MF,FW",Leganés,es La Liga,17,10,6,545,6.1,2,1,3,1.4,1.4,0.9,11,3,27.3,0.18,0.67,0.6,83.0,14,16,37,14,9,8,6,309,200,60.5,41
Lois Diony,fr FRA,FW,Angers,fr Ligue 1,31,1,0,21,0.2,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,25.0,0,0,0,0,0,0,0,6,4,,0
Issa Diop,fr FRA,DF,Fulham,eng Premier League,27,21,15,1339,14.9,0,0,0,0.5,0.5,0.1,5,2,40.0,0.0,0.0,-0.5,87.5,3,25,6,26,12,9,72,903,533,50.0,45
Sérigné Diop,sn SEN,FW,Brest,fr Ligue 1,19,2,0,4,0.0,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,100.0,0,0,0,1,0,0,0,6,1,,0
Sofiane Diop,fr FRA,"MF,FW",Nice,fr Ligue 1,24,28,8,1064,11.8,6,4,10,6.0,6.0,2.9,22,11,50.0,0.27,0.55,0.0,77.2,24,64,26,23,16,17,7,714,399,32.3,73
Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,21,34,27,2225,24.7,1,2,3,2.9,2.9,2.8,40,5,12.5,0.03,0.2,-1.9,79.5,33,116,82,37,26,15,18,1367,751,49.4,154
Assane Dioussé,sn SEN,MF,Auxerre,fr Ligue 1,26,17,7,663,7.4,0,0,0,0.1,0.1,0.2,3,2,66.7,0.0,0.0,-0.1,89.6,2,33,1,15,7,12,15,431,276,33.3,41
Axel Disasi,fr FRA,DF,Aston Villa,eng Premier League,26,7,5,490,5.4,0,0,0,0.1,0.1,0.4,2,0,0.0,0.0,,-0.1,86.8,3,16,10,8,5,5,18,334,207,60.0,15
Axel Disasi,fr FRA,DF,Chelsea,eng Premier League,26,6,4,364,4.0,1,0,1,0.3,0.3,0.1,2,1,50.0,0.5,1.0,0.7,90.8,2,16,6,7,4,2,11,323,196,100.0,15
Roman Dixon,eng ENG,DF,Everton,eng Premier League,19,1,1,90,1.0,0,0,0,0.0,0.0,0.0,0,0,,,,0.0,57.9,0,0,0,5,5,1,3,36,16,0.0,6
