Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,xG,npxG,xAG,Sh,SoT,SoT%,G/Sh,G/SoT,G-xG,Cmp%,KP,PrgP,PrgC,Tkl,TklW,Int,Clr,Touches,Carries,Succ%,Recov
Faustino Anjorin,eng ENG,MF,Empoli,it Serie A,22,22,14,1114,12.4,2,3,5,0.9,0.9,1.7,23,7,30.4,0.09,0.29,1.1,80.5,17,55,28,29,13,13,20,628,327,39.0,65
Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,28,26,22,1949,21.7,2,2,4,1.7,1.7,0.8,19,3,15.8,0.11,0.67,0.3,90.4,6,117,32,34,21,30,112,2126,1386,83.3,122
Leandro Antonetti,pr PUR,FW,Sevilla,es La Liga,21,2,0,28,0.3,0,0,0,0.1,0.1,0.0,1,1,100.0,0.0,0.0,-0.1,50.0,1,0,1,0,0,0,0,12,5,0.0,3
Kyllian Antonio,fr FRA,"DF,MF",Lens,fr Ligue 1,16,3,2,139,1.5,0,0,0,0.1,0.1,0.0,1,0,0.0,0.0,,-0.1,83.5,0,0,1,3,2,3,3,114,82,50.0,5
Michail Antonio,jm JAM,FW,West Ham,eng Premier League,34,14,11,836,9.3,1,1,2,2.2,2.2,1.6,19,4,21.1,0.05,0.25,-1.2,60.6,9,18,29,2,2,0,2,296,173,33.3,22
Antoniu,es ESP,"FW,MF",Espanyol,es La Liga,21,26,13,1022,11.4,0,1,1,0.9,0.9,1.1,10,4,40.0,0.0,0.0,-0.9,67.0,7,28,35,21,10,8,11,369,215,53.7,39
Antony,br BRA,"DF,MF",Manchester Utd,eng Premier League,24,8,0,141,1.6,0,0,0,1.0,1.0,0.1,6,3,50.0,0.0,0.0,-1.0,81.2,3,6,5,6,3,2,0,101,60,36.4,11
Antony,br BRA,FW,Betis,es La Liga,24,17,15,1362,15.1,5,2,7,2.9,2.9,3.5,43,17,39.5,0.12,0.29,2.1,81.0,36,67,94,25,11,10,9,982,663,38.1,73
Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,29,26,21,1720,19.1,2,0,2,1.7,1.7,1.2,11,5,45.5,0.18,0.4,0.3,81.4,7,30,24,38,27,18,26,705,359,29.2,71
Dennis Appiah,fr FRA,DF,Saint-Étienne,fr Ligue 1,32,29,22,2128,23.6,0,1,1,0.2,0.2,2.1,5,2,40.0,0.0,0.0,-0.2,76.6,13,108,51,71,43,29,89,1486,630,46.5,90
Aritz Arambarri,es ESP,DF,Leganés,es La Liga,26,2,2,177,2.0,0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,,0.0,73.1,0,2,0,1,1,3,8,86,44,,4
Mauro Arambarri,uy URU,MF,Getafe,es La Liga,28,35,31,2661,29.6,10,0,10,8.2,5.8,0.6,53,16,30.2,0.13,0.44,1.8,73.3,17,75,17,48,29,15,46,1146,534,52.9,137
